Date,ICICIBANK,RELIANCE,TATAMOTORS,VBL,^NSEI
2018-05-23,278.112060546875,410.328369140625,307.5395202636719,39.44133377075195,10430.349609375
2018-05-24,283.492431640625,411.9476318359375,286.867919921875,40.569026947021484,10513.849609375
2018-05-25,281.54022216796875,414.17413330078125,292.3339538574219,40.810672760009766,10605.150390625
2018-05-28,284.96844482421875,413.99420166015625,294.47064208984375,41.888362884521484,10688.650390625
2018-05-29,276.0646667480469,412.66729736328125,292.83087158203125,42.20222854614258,10633.2998046875
2018-05-30,271.30328369140625,412.0600891113281,287.1163330078125,41.69948959350586,10614.349609375
2018-05-31,272.1603088378906,414.4215393066406,280.7558898925781,42.39943313598633,10736.150390625
2018-06-01,275.4932556152344,418.5596618652344,285.4268798828125,42.83829116821289,10696.2001953125
2018-06-04,273.06500244140625,423.1925964355469,284.8802490234375,41.5550537109375,10628.5
2018-06-05,270.54150390625,426.251220703125,283.1907653808594,41.566165924072266,10593.150390625
2018-06-06,270.3510437011719,429.2873229980469,293.8246765136719,42.496646881103516,10684.650390625
2018-06-07,277.01690673828125,436.9114074707031,303.5144958496094,42.66607666015625,10768.349609375
2018-06-08,274.4933776855469,442.7588195800781,308.0364074707031,41.368961334228516,10767.650390625
2018-06-11,272.7316589355469,441.9941711425781,307.837646484375,41.5994987487793,10786.9501953125
2018-06-12,273.6839294433594,448.5162353515625,305.899658203125,41.191192626953125,10842.849609375
2018-06-13,276.8741149902344,450.9226379394531,306.4959716796875,42.271671295166016,10856.7001953125
2018-06-14,271.1604309082031,453.3740234375,304.01141357421875,42.8632926940918,10808.0498046875
2018-06-15,269.0178527832031,456.185302734375,301.0796203613281,42.87162399291992,10817.7001953125
2018-06-18,279.0167236328125,456.7925109863281,306.89349365234375,42.7632942199707,10799.849609375
2018-06-19,278.8262939453125,448.021484375,303.1666259765625,42.40776824951172,10710.4501953125
2018-06-20,279.20721435546875,458.4567565917969,303.7132568359375,42.07168197631836,10772.0498046875
2018-06-21,283.73052978515625,464.1692199707031,305.1046142578125,41.66338348388672,10741.099609375
2018-06-22,286.3016357421875,455.4206237792969,306.09844970703125,41.64115905761719,10821.849609375
2018-06-25,275.8742370605469,451.7997741699219,287.61328125,40.80789566040039,10762.4501953125
2018-06-26,274.3505859375,440.3298645019531,275.1407470703125,40.86899948120117,10769.150390625
2018-06-27,265.73248291015625,434.4375305175781,269.3765563964844,41.62726974487305,10671.400390625
2018-06-28,258.44757080078125,425.0367431640625,261.72412109375,42.42442321777344,10589.099609375
2018-06-29,262.2566833496094,437.4062194824219,267.6373596191406,41.86336135864258,10714.2998046875
2018-07-02,264.1612243652344,432.07611083984375,265.0534362792969,41.40506362915039,10657.2998046875
2018-07-03,259.8760070800781,436.88897705078125,267.7864685058594,41.79948425292969,10699.900390625
2018-07-04,260.20928955078125,445.3451843261719,265.4012451171875,42.61052322387695,10769.900390625
2018-07-05,258.5904235839844,433.830322265625,259.9352111816406,41.81892013549805,10749.75
2018-07-06,257.1620178222656,439.7001953125,269.17779541015625,41.71337890625,10772.650390625
2018-07-09,258.25714111328125,448.4937438964844,271.8114318847656,41.66338348388672,10852.900390625
2018-07-10,260.3520812988281,461.3579406738281,273.7494201660156,41.602272033691406,10947.25
2018-07-11,255.92404174804688,467.25030517578125,266.1466064453125,41.738380432128906,10948.2998046875
2018-07-12,259.30462646484375,486.8390197753906,264.4571533203125,41.44673156738281,11023.2001953125
2018-07-13,254.97177124023438,494.68798828125,261.9725646972656,41.45506286621094,11018.900390625
2018-07-16,246.87744140625,484.0727844238281,250.54356384277344,40.88844299316406,10936.849609375
2018-07-17,253.7338409423828,491.3370056152344,256.3574523925781,40.55791091918945,11008.0498046875
2018-07-18,250.16281127929688,491.427001953125,250.2951202392578,39.7968635559082,10980.4501953125
2018-07-19,248.73435974121094,496.9594421386719,250.94110107421875,39.455223083496094,10957.099609375
2018-07-20,253.1148223876953,507.6647033691406,251.8355255126953,38.99136734008789,11010.2001953125
2018-07-23,263.8887023925781,503.90887451171875,257.15252685546875,38.80249786376953,11084.75
2018-07-24,262.7395324707031,499.7032775878906,257.2021789550781,38.819156646728516,11134.2998046875
2018-07-25,263.02679443359375,501.5923767089844,256.2580871582031,38.69417190551758,11132.0
2018-07-26,273.561279296875,499.5682678222656,256.65557861328125,38.30253219604492,11167.2998046875
2018-07-27,280.79180908203125,508.2044677734375,266.49444580078125,38.88859939575195,11278.349609375
2018-07-30,294.3429870605469,517.8975830078125,265.8484802246094,38.74416732788086,11319.5498046875
2018-07-31,291.3741760253906,533.4606323242188,262.469482421875,41.80781555175781,11356.5
2018-08-01,286.6336975097656,536.3167724609375,263.4136047363281,41.360633850097656,11346.2001953125
2018-08-02,285.9153747558594,525.5216674804688,259.2395324707031,40.61346435546875,11244.7001953125
2018-08-03,292.0924072265625,529.389892578125,256.8543701171875,40.399593353271484,11360.7998046875
2018-08-06,301.7649841308594,536.4293212890625,252.4815216064453,40.480140686035156,11387.099609375
2018-08-07,299.89752197265625,532.6510009765625,250.04666137695312,41.216190338134766,11389.4501953125
2018-08-08,305.212646484375,547.71923828125,253.57472229003906,42.36888122558594,11450.0
2018-08-09,318.9074401855469,547.8316650390625,256.2580871582031,41.543941497802734,11470.7001953125
2018-08-10,314.6936340332031,541.64697265625,248.55592346191406,42.077232360839844,11429.5
2018-08-13,311.1502380371094,534.2252197265625,247.16455078125,43.138267517089844,11355.75
2018-08-14,318.3807373046875,544.5256958007812,247.26394653320312,43.47990798950195,11435.099609375
